eventid,url,dates,location,date,text,issue,event
AWGs CCWG7,http://www.iisd.ca/vol12/enb12429e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",29 September 2009,"In the aftermath of various high-level climate change events, including the UN Secretary-General's Climate Change Summit in New York, many delegates arrived in Bangkok wondering whether new impetus would be injected into the UNFCCC process. Most agreed that some fresh energy and a change of gears were necessary given the ""intimidating workload"" and rapidly approaching deadline. At the document center, several delegates expressed dismay with the AWG-LCA documentation amounting to nearly 800 pages in its entirety. ""At this rate, we'll be negotiating well into next year,"" opined one delegate. On Monday evening, however, it seemed that the pace of the negotiations was, indeed, changing. The exceptionally busy first day saw the AWG-LCA barely pausing for breath, let alone lunch: less than half an hour after the opening plenary, parties were already plunging into the contact groups sessions - some of which lasted well past 6 pm. The atmosphere in both AWGs was also more electric than at previous meetings and several debates on sensitive issues surfaced during the afternoon sessions. Given that the EU and other developed countries expressed support for a single agreement, candid discussions took place under the AWG-KP on the Protocol's fate: whether it would survive beyond the first commitment period, and if not, what would happen to the existing rules, institutions and mechanisms, including the Marrakesh Accords. One senior negotiator worried that if ""Kyoto is absorbed into a broader agreement, are we going to have to renegotiate the entire thing?"" Under the AWG-LCA, the afternoon's contact group on mitigation proved to be fairly charged as strong divides persisted between the US and several other developed countries on the one hand, and India and many other developing countries on the other, concerning whether and how to consider common mitigation actions by all parties. Some delegates emerging from the room looked stressed or disappointed, characterizing the tension as a step backwards and feeling unsure as to where things were headed. However, at the same time, many also seemed excited that gears were finally changing and things were starting to happen: ""This is the real thing now,"" commented one inspired seasoned egotiator.",429,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12430e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",30 September 2009,"After the sparkles and electricity on Monday, delegates seemed to settle into a determined pace - with an awareness, however, that sensitive issues continue to loom around the corner and that the fruits of their labor will come under close scrutiny in just a couple of months. Agreement was reported from informal consultations by the AWG-LCA Chair in the morning to discuss proposals related to common mitigation actions by all parties in the contact group on mitigation. This started off the day on a positive note and cleared the road for scheduling meetings for the suspended mitigation sub-groups on sub-paragraphs 1(b)(i) and 1(b)(ii) of the BAP on Wednesday. For the mitigation sub-group on REDD-plus, Tuesday was already a busy day with two contact group meetings. One delegate commented that she ""felt like the REDD-plus group was the A+ student,"" as the group has shaved off almost ten pages of the AWG-LCA's negotiating text and has plans to start negotiating the consolidated text at its next meeting on Saturday. Many other AWG-LCA groups also seemed keen to get moving and establish procedures to delve into the negotiating text. This gave hope to some negotiators that substantial shortening of the negotiating text might be possible at this session, although others were still pessimistic about the prospects. On the AWG-KP side, the spin-off group on LULUCF met informally, agreeing on priorities for discussion and noting the anticipated submission of LULUCF reports from three parties on Wednesday. The group on Annex I emission reductions, however, continued broad discussions on how to get around long-standing issues, such as coordination with the AWG-LCA and top-down versus bottom-up approaches. One delegate noted that in order to begin working on text the group would first have to resolve the ""big picture issues"" - ""I'm just wondering whether, where and when that is going to happen.""",430,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12431e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",1 October 2009,"During another busy day at the Bangkok Climate Change Talks, several negotiating groups managed to delve deeper into the details. Delegates were, however, reminded of the urgency of their work, particularly adaptation for vulnerable populations, as news continued to stream in on extreme events throughout Asia, including typhoon Ketsana. ""While we cannot attribute individual events to climate change, this news provides examples of the kind of extreme weather events that we should be thinking about,"" said one delegate as he emerged from the adaptation meetings. In addition to several contact group meetings, the AWG-LCA Chair held an informal meeting on Wednesday afternoon focusing on the form of the agreed outcome. ""The legal nature of the outcome was not on the agenda, but we were discussing the document or documents that might come out of Copenhagen,"" explained one negotiator. Another remarked that it was difficult, if not impossible, to isolate discussions on form from discussions on legal nature, continuing: ""I think that the number of lawyers in the room might be a testament to that notion."" Exchanges in the room reportedly covered various ideas on the form of the agreed outcome, including: a single document; a series of documents on each element of the BAP; or a hybrid model comprising a core document and complementary documents that elaborate on the details. Building on these ideas, others mentioned a ""Marrakesh type"" of process. ""We are all chiseling away at the various pieces of the document to build a structure, but we don't know what kind of structure we are building,"" one exacerbated delegate said. Another delegate jokingly confessed to being perplexed by the variety of metaphors used: ""We talked about whether we are trying to build townhouses or a tower and about two elephants and how one would react if her elephant friend died. We also discussed mixing all the ingredients together so they are cooked before Copenhagen.""",431,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12432e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",2 October 2009,"With stocktaking plenaries under both AWGs scheduled for Friday, many delegates were overheard exchanging views on where things stand after four days of negotiations in Bangkok. Few, however, seemed to have a clear idea of how to characterize the pace of the negotiations. ""I must confess I am a bit confused,"" said one: ""Sometimes it feels like we've made a lot of progress - and at other times it seems like there will not be enough time to finish everything that needs to be done before Copenhagen."" Another questioned whether the consolidation exercise under the AWG-LCA had actually led to any shortening of the text, with parties insisting on keeping their proposals in the document. ""Well, we've indeed clarified our positions but this does not mean we've created any space for compromise, rather we've further illuminated our differences,"" he said pessimistically. Many of those emerging from the morning's mitigation contact group under the AWG-LCA were willing to admit that positions had been clarified - with some also conceding that ""important differences"" between developed and developing countries had been elucidated. Nevertheless, others were optimistic. One developed country delegate characterized the discussions as a ""fundamental breakthrough,"" noting that, for the first time, proposals for mitigation architecture were discussed in a formal setting and parties provided ""starker relief"" of their proposals and expectations. Emerging from the room, some delegates also remarked on Thursday's events in the US, including the introduction of the Boxer-Kerry climate bill in the Senate and the regulation of greenhouse gases by the Environmental Protection Agency under the Clean Air Act, wondering how these would impact the negotiations. Discussions also took place in the corridors and meeting rooms concerning the overall legal architecture and the Protocol's future. Some commented on new support for the proposal made by Tuvalu earlier in the week to consider the legal implications that would arise if the Protocol was subsumed under a new agreement in Copenhagen and how this would affect the Protocol's rules, institutions and mechanisms. ""There seems to be growing acknowledgment that this needs to be discussed - somewhere,"" said one party.",432,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12433e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",3 October 2009,"Most delegates came to Bangkok agreeing that important progress must be achieved during the meeting in terms of narrowing down and clarifying options, otherwise agreement in Copenhagen will not be possible. Many therefore considered the stocktaking exercises on Friday as important milestones towards measuring progress under each AWG. The UNFCCC Executive Secretary's press conference on Friday afternoon sent a signal of encouragement, as he expressed confidence that rules and tools can be developed in Bangkok and Barcelona will enable Copenhagen to succeed. ""Yes, we can,"" was also the slogan that a Swiss delegate displayed on the screen during the AWG-LCA's stocktaking session - a sentiment shared by many others wanting to believe that agreement in Copenhagen is still within reach. However, even the most optimistic were ready to admit that further progress during the second week will be essential. Many also suspected that such progress is by no means guaranteed. To be sure, pessimistic views were aired during the stocktaking meetings. Even stronger sentiments were expressed by some NGO representatives in the corridors: ""Progress is painfully slow, and everyone is chiseling away around the edges, and I worry that we are wasting time and money by being here."" Some veterans characterized progress as uneven: ""There are areas where we are advancing - but there are also crucial questions where we have not seen any significant movement."" Issues identified by some as areas where good progress was being made included adaptation, capacity building and technology under the AWG-LCA, and LULUCF and potential consequences under the AWG-KP. On the ""sticking points,"" many identified mitigation and finance as the key ones. Most predicted that mitigation would be particularly challenging to resolve: under the AWG-KP, the G-77/China said parties were ""stuck at a place where we cannot bridge the gap"" and reiterated the need for commitments by Annex I countries consistent with science. Some speculated how a proposal by the EU under the AWG-LCA to compile emission reduction pledges from all Annex I countries would influence the dynamics. ""While broadening discussions on developed country contributions might help, there is also the question of developing country mitigation to consider,"" noted another delegate. The breadth of the ground to cover in that area was evident from a comment by one developing country delegate on a proposal by a developed country on mitigation: ""The problem is not that I don't understand the nature of the proposal - on the contrary, the problem is that I do."" On the way to move things forward, the AWG-LCA stocktaking session bore witness to calls from some parties to give the Chair a mandate to consolidate the text further with a view to accelerating progress. As one delegate said emerging from the evening session, ""something more has to be done, this text still needs so much work, and it's now or never if we want to make progress."" However, several developing country delegates, while acknowledging that further consolidation was required, said the process still had to be ""party-driven"" and based on work done during the week.",433,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12434e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",5 October 2009,"On Saturday, work continued at the Bangkok Climate Change Talks, both in formal and informal settings. On the informal side, groups convened under the AWG-LCA to discuss different aspects of mitigation, including mitigation by developed countries under sub-paragraph 1(b)(i) of the BAP. Delegates emerging from the informals on developed country mitigation reported that the focus had been on a new document indicating paragraphs that might be merged, and that the proposed technical paper on ""numbers"" had also been discussed. ""There seemed to be support for compiling the technical paper,"" noted one participant, but added: ""We did not really agree on the details, including the scope, methodology or timing of such work."" In the afternoon, the AWG-LCA Chair convened an informal meeting on ""organization of text."" One delegate explained that the meeting related mainly to organization of the AWG-LCA's work on finance and its means of implementation, which is reflected throughout the negotiating text. Delegates emerging from the room reported that no major controversies surfaced during the meeting. ""While many see finance as one of the ""deal breakers"" in Copenhagen, this was mostly an organizational discussion,"" said one party after the meeting. Overall, while several meetings were held throughout the day, many noted that the corridors of UNESCAP felt ""quiet and empty"" compared to the frenzy of activities on Friday. Many participants were overheard discussing their plans for Saturday evening (the traditional NGO party was featured at the top of the list) and for Sunday: ""I can certainly use this short break - next week will involve very hard work,"" remarked one delegate as she exited the UN building.",434,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12435e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",6 October 2009,"As the Bangkok Climate Change Talks continued on Monday, a lively demonstration took place outside the UNESCAP building as a reminder to delegates of the rapidly approaching Copenhagen meeting and the growing interest in their work outside the walls of the conference center. Inside the building, work resumed through various formal and informal meetings. Many of the day's meetings under the AWG-LCA were characterized by some participants as ""technical."" The AWG-LCA contact group on overall mitigation issues, for instance, focused on organization of text and work, and the contact group on mitigation under sub-paragraph 1(b)(i) of the BAP held a short meeting on the consolidation of the negotiating text. While the contact group on finance also held a rather technical discussion on a new non-paper, several delegates coming from the room were heard commenting on the new US proposal on finance. ""What I think is positive about the proposal is that it would be scaling up financial resources,"" said one delegate. Another skeptical one commented: ""I'm not sure how the mechanism would be different from the existing framework. It seems like the same game with a different name."" Under the AWG-KP, the morning's meeting on the relationship between Annex I parties' ""numbers"" and the market mechanisms proved so popular that an additional meeting had to be scheduled on the topic. After the discussions on issues such as environmental integrity, the impact of market mechanisms ""as the atmosphere sees them,"" the need for investment signals in the form of a carbon price and the role of ""hot air,"" many of those emerging from the room characterized the discussions as ""interesting,"" ""positive"" and ""useful."" One developed country delegate explained: ""Developed and developing countries still have different views on whether targets should be defined before the rules on other issues, or vice versa, and we definitely need to discuss this more. This was just the beginning."" ""Our views are still far apart, but it was a relatively good discussion,"" said another. Many informal groups also convened during the day, including on: a shared vision and sectoral approaches under the AWG-LCA; and on LULUCF and potential consequences under the AWG-KP. Emerging from the informal meeting on the scope of a shared vision, delegates were cautiously optimistic. One said: ""We had remarkably similar positions on the need for a long-term global goal to be at the center of a shared vision."" Another commented: ""While the form of the outcome is still up in the air and parties had diverse ideas on how a shared vision will be presented in the agreed outcome, there was new support for the idea that we are not going to Copenhagen just to create an aspirational and inspirational political declaration.""",435,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12436e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",7 October 2009,"Tuesday was a busy, and what some characterized as a ""heated,"" day at the Bangkok Climate Change Talks. Various contact groups and informal consultations were held throughout the day under both AWGs. Many delegates also made their way to the technical briefing by the International Energy Agency (IEA) on a special early excerpt of the World Energy Outlook 2009 to inform the negotiations leading into Copenhagen. During the briefing, the IEA conveyed a ""stark message"" that continuing with today's energy policies would lead to severe climate change impacts, while also highlighting a new window of opportunity to curb climate change and build a low-carbon future. According to the IEA, the financial and economic crisis has had ""a considerable impact"" on the energy sector, meaning that CO2 emissions are expected to fall in 2009, and ""with the right policies put in place promptly,"" this could help to achieve the IEA's 450 Scenario. While many delegates saw this as a cause for optimism, others were worried: ""I'm not sure 450 ppm will be adequate."" In the afternoon, AWG-LCA Vice-Chair Machado convened informal consultations on the organization of work for Barcelona. Parties reportedly agreed to continue with the current working method, comprised of contact groups and informal sessions. They also exchanged views on how to focus their work and identify key issues, given that the Barcelona session consists of only five working days. Several parties were heard expressing concern with the scheduling of meetings and the need to avoid clashes. Afternoon informal consultations were also held under the AWG-LCA's overarching mitigation group, which focused on proposals by several developed countries on frameworks for mitigation action by all parties. The meeting caused strong, albeit mixed, feelings among delegates. Some developed country negotiators seemed almost excited, and one was overheard saying afterwards: ""I feel we are moving to the core of the discussion now. It is difficult, but it's better to have this debate earlier than later."" However, some developing country delegates did not appear to share the same enthusiasm, with one commenting: ""Now I realize that there is not only one elephant in the room - there are several! So many of these proposals are clearly not fathered by the Convention."" Heated discussions on the fate of the Kyoto Protocol also surfaced during the day both in contact groups and in informal consultations. Some of those participating in the AWG-LCA sub-group on various approaches to mitigation commented on the proposal by the US to introduce language that would include the CDM in an agreement reached under the AWG-LCA. ""The US interest in the CDM is obviously welcome news,"" remarked one delegate. ""I am increasingly worried about the Protocol,"" said another: ""If we start discussing the CDM under the AWG-LCA, it means that the AWG-KP will just die - and I don't want the blood of the Protocol on my hands,"" he explained. ""It seems that many developed countries are ready to finish off the Protocol,"" opined another. The divide between developed and developing countries on the fate of the Protocol became more evident under the AWG-KP in the evening when a small group convened to discuss the legal implications of the Protocol being submerged under a new agreement. Several developing countries stressed that the question was political rather than a legal one, and opposed any discussions implying that the Protocol would cease to exist in the future. Several developing country delegates, in fact, reportedly walked out of the meeting after expressing this view. Several delegates, however, stayed on and held a technical discussion focusing on legal scenarios for the Protocol's future. Some developed country delegates emerging from the room, characterized the meeting as ""constructive"" and ""useful."" A developing country party, however, characterized it as ""enlightening, but scary."" ""Clearly, we've still got some major obstacles to overcome to ensure success in Copenhagen, but hopefully they are not insurmountable,"" said one attempting to summarize the day's discussions. ""Only time will tell.""",436,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12437e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",8 October 2009,"While the various informal consultations and contact groups continued to meet throughout Wednesday, many delegates seemed to be increasingly aware of the fact that only two full working days remain in Bangkok. In the evening, the AWG-LCA Chair convened an informal stocktaking meeting. Many delegates reflected on progress made in Bangkok in the various contact groups and mitigation sub-groups under the AWG-LCA, noting that all groups had managed to produce non-papers, and that negotiations had begun in formal and informal settings based on these documents. As one veteran in the process indicated: ""Issues are on the table, we are discussing them, and have therefore entered full negotiating mode."" However, most agreed that the remaining workload before Copenhagen was still considerable. One delegate remarked that the text to be negotiated had not been significantly reduced and calculated that the various non-papers amounted to a ""staggering"" 177 pages. ""We need a radical shift in pace and volume of material,"" he indicated. Concerning an updated list of proposed new institutional arrangements under the various building blocks, some parties noted that it contained over 50 proposed arrangements. On the overall direction and progress of the negotiations, discussions at the informal stocktaking meeting were based on a note that compiled key elements in the issue areas. Several parties expressed dismay at progress made, with many developing countries arguing that they felt like ""the train was going in the wrong direction"" and that too many of the proposals were inconsistent with the Convention and the BAP. One went so far as to state that: ""We are moving farther apart instead of closer together."" Several developed countries maintained, however, that not a single of their proposals was inconsistent with the Convention and the BAP, and one indicated that ""if we all had the same understanding of what we adopted in Bali, we would not need to be here now."" ""It feels as if two worlds are colliding,"" commented one veteran negotiator emerging from the meeting. Despite the evident divisions and pessimism, optimistic delegates could also be found in the corridors. ""There will be a solution, eventually,"" said one. ""We had a very frank discussion and our positions are clearer. It is now a matter of building trust and getting to our destination."" One delegate said the issues should be revisited after a good sleep: ""Morning is always wiser than the night.""",437,Bangkok Climate Change Talks - 2009
AWGs CCWG7,http://www.iisd.ca/vol12/enb12438e.html,28 September - 9 October 2009,"UNCC, Bangkok, Thailand",9 October 2009,"As the end of the Bangkok meeting approached, the various groups and sub-groups under the AWG-KP and AWG-LCA attempted to finalize their work before the closing plenaries on Friday. ""This was a busy day - at some point I felt like I had to be in three different places at once,"" commented one delegate. Under the AWG-KP, an informal group discussed Annex I emission reductions, trying to narrow down the options related to the proposed Protocol amendments pursuant to Article 3.9. The group on other issues considered ways of streamlining the text on the flexibility mechanisms. The spin-off group on LULUCF also consulted informally. One delegate was in a positive mood afterwards: ""Progress on LULUCF at this meeting has been good and the rules are becoming increasingly clear."" On the AWG-LCA side, a number of informal and contact group meetings were held. By the end of the day, several groups had finished their work at the Bangkok session. In some of them, divergence was more evident than in others. Many seemed to place the group addressing various approaches to mitigation under sub-paragraph 1(b)(v) of the BAP into the category of groups where more work was going to be needed to reach an agreement. Many of those emerging from the REDD discussions also commented on new, ""almost surprising"" divides. One veteran NGO representative said: ""I don't think REDD can call itself the A+ student anymore. Old wounds were reopened on safeguards for indigenous peoples and conservation of forests, and some of the previous sense of progress was lost."" On the positive side, many delegates emerging from the sub-group on sub-paragraph 1(b)(i) of the BAP welcomed the announcement by Norway that it plans to increase its emission reduction target from -30% to -40% from 1990 levels by 2020. As the focus began to shift towards the next session, informal consultations under the AWG-LCA on the organization of work in Barcelona also took place in the afternoon. Emerging from the room, one delegate expressed concern with a proposal to replace some of the mitigation sub-groups with informal consultations and report back to a single contact group. She specified: ""Informal meetings produce informal results. We don't have time for such working methods."" Others, however, were concerned about the ""manpower"" required to follow all the groups and informals. A developing country representative said: ""Even if I could triple the size of my delegation, we couldn't cover all the informal groups that we would like to."" Another delegate attempted to sum up the discussion: ""No one seems to want to change the working method in Barcelona, so I don't see how we can get much accomplished."" Another expressed optimism: ""With political will from our capitals, you'd be surprised how quickly things can happen.""",438,Bangkok Climate Change Talks - 2009
AWGs RCCWG7,http://www.iisd.ca/vol12/enb12443e.html,2-6 November 2009,"Barcelona, Spain",3 November 2009,"As delegates filled the vast halls of the Fira de Gran Via on Monday to begin the final week of negotiations before Copenhagen, many felt as if they had just left the previous round of discussions in Bangkok. As one delegate put it, the three-week intersessional period seemed like ""a long working weekend."" Expectations of progress in Barcelona, as well as in Copenhagen, varied. While many seemed resigned to the fact that a lot of work would have to be pushed beyond Copenhagen, others were angry at what they saw as attempts to lower expectations and the level of ambition. Mixed feelings were also expressed on how the work should proceed in Barcelona. While many delegates expressed hope that meetings would go straight to informals to finally begin ""real negotiations"" and facilitate development of text and clear options for Copenhagen, some delegates continued to highlight the need for contact groups. One stressed that ""a Copenhagen agreement needs to be developed in the light of day."" This sentiment was shared by some NGO representatives: ""If they spend the meeting in informals from Tuesday onwards, I will have nothing to do for the rest of the week,"" commented one. In the afternoon, many delegates found their schedule to be much lighter than expected: suspension of the contact groups and informal consultations scheduled under the AWG-KP at the request of the African Group took many developed and developing countries by surprise. The African Group insisted that the contact group on ""numbers"" conclude its work before the other groups proceed. According to rumors circulating in the corridors, informal consultations held in the afternoon did not resolve the issue. Reactions to this development were mixed. According to a developing country delegate, the cancellation of informal groups should not have been necessary and was not a good start to the meeting. Many developed country delegates in particular saw the move as a ""poor tactic"" and speculated on motivations behind it. Others, however, supported the position, calling it ""necessary and quite timely,"" and a developing country delegate said, ""this demonstrates that if no agreement is reached in Copenhagen, it is because Annex I countries have refused to make necessary commitments."" One veteran commented: ""I thought I knew this process, but this just shows that unexpected things can happen - I hope this also applies to unexpectedly good progress in Copenhagen.""",443,Barcelona Climate Change Talks 2009
AWGs RCCWG7,http://www.iisd.ca/vol12/enb12444e.html,2-6 November 2009,"Barcelona, Spain",4 November 2009,"Throughout Tuesday, all meetings under the AWG-KP were suspended, pending consultations on the African Group's request that AWG-KP groups not convene until ""the numbers group"" completes its work. Many AWG-KP delegates were therefore seen wandering around the corridors, checking their mobiles for messages and the CCTV, and waiting for news on how the situation might be resolved. By evening, a solution had been found and the AWG-KP plenary convened to clear the way for meetings to resume on Wednesday. After the plenary, delegates' views were mixed. A LULUCF negotiator explained that she had come to the meeting expecting the good progress achieved in Bangkok to continue and had therefore been disappointed with the suspension - and expressed relief that work could now begin. A developing country delegate analyzed: ""This gave this crucial issue more visibility, which is obviously a good thing."" He added: ""In terms of the time lost, however, I'm not sure it was worth it."" A developing country delegate expressed hope that this situation would not have to be repeated. For those following the AWG-LCA, the day was packed with informal consultations. One delegate coming out of an informal meeting on overarching mitigation issues commented that he felt the discussions had not moved forward and that developed and developing countries appeared to still hold opposing views on whether common mitigation frameworks should be discussed at all. The AWG-LCA Chair also convened consultations on the organization of work. Parties emerging from the room described the meeting as focusing on the outcome of the Barcelona session with two options on the table: either having a draft negotiating text comprising all the non-papers or a report with the non-papers annexed to it. Discussions were also reportedly held on documentary form of a Copenhagen outcome. One veteran explained afterwards: ""A legally-binding agreement at COP 15 is now looking almost impossible, given the lack of consensus and limited time remaining."" Many, including concerned observers, were overheard wondering about the alternatives. One delegate speculated that the outcome could be ""a decision with a political commitment to take action that does not rule out further discussions on a legally-binding instrument,"" while a developing country delegate seemed visibly frustrated with low expectations for Copenhagen, stressing that ""political commitments do not necessarily lead to actions.""",444,Barcelona Climate Change Talks 2009
AWGs RCCWG7,http://www.iisd.ca/vol12/enb12445e.html,2-6 November 2009,"Barcelona, Spain",5 November 2009,"The plethora of meetings continued unabated on Wednesday, as the AWG-KP swung into action after Tuesday evening's plenary session and the AWG-LCA continued to convene in numerous informal meetings. Many delegations tried to stretch themselves to attend parallel meetings. Mood on progress was not very upbeat, with many saying that discussions were repetitive and countries were not engaging in finding commonalities in their proposals. Others were a bit more positive however, noting some progress, albeit uneven, especially across various issues under the AWG-LCA. Prospects for Copenhagen and the form of the outcome continued to be popular topics in the corridors. Some delegates explained that they were ""depressed"" by the view that a legally-binding outcome in Copenhagen is no longer possible. Some were wondering whether ""a complete failure"" in Copenhagen would be preferable if a legally-binding outcome was not achievable. There were also rumors that some parties had lowered their expectations to the extent that they were considering trimming down the size of their delegations for COP 15. ""There will not be a total failure, however,"" said one veteran: ""In the worst case scenario, we'll come up with something wishy-washy."" Others speculated whether, how and when a non-binding outcome from Copenhagen could be turned into something legally binding. Some, however, were still determined to fight: ""The political momentum generated for Copenhagen is too important to let go - we simply must seize it and succeed by creating a meaningful outcome.""",445,Barcelona Climate Change Talks 2009
AWGs RCCWG7,http://www.iisd.ca/vol12/enb12446e.html,2-6 November 2009,"Barcelona, Spain",6 November 2009,"Thursday, the penultimate day of the Barcelona Climate Change Talks, was again packed with a plethora of informal meetings under the AWG-LCA and contact groups and informal consultations under the AWG-KP. Among the meetings were informal consultations on organization of work under the AWG-LCA. Those emerging from the meeting in the evening explained that the focus had, again, been on how to forward results of the work done in Barcelona to Copenhagen, and how the AWG-LCA should work in Copenhagen. Opinions were reportedly divided as to whether to express the results as a compilation of non-papers annexed to the report of AWG-LCA 7, or whether a new information document should be produced. After the meeting, delegates also reported that parties seemed to generally agree to convene one AWG-LCA contact group in Copenhagen to provide an overview of the work that would be continued under the various informal groups. Others in the corridors were contemplating the increasingly clear high-level messages that a legally-binding agreement at COP 15 will not be possible. Some observers were visibly disappointed, while others tried to stay positive as they speculated about prospects for a legally-binding instrument sometime in 2010. In the afternoon, the blackberries of several delegates, especially the US ones, were buzzing with the breaking news that the Boxer-Kerry climate bill had made it through the Senate Environment and Public Works Committee. Some were overheard reflecting on the significance of this piece of news: ""This is a positive development - but I remain skeptical that the legislation will be passed before Copenhagen, as the bill will also have to go through some other committees as well as reconciliation in a conference committee to sort out differences between the House and Senate versions,"" explained one delegate familiar with the US legislative process.",446,Barcelona Climate Change Talks 2009
COP 15 - CMP 5,http://www.iisd.ca/vol12/enb12449e.html,7-19 December 2009,"Copenhagen, Denmark",8 December 2009,"As the critically important COP 15 opened on Monday, the halls of the Bella Center in Copenhagen filled quickly as eager delegates and observers arrived to attend the welcoming ceremony. With around 34,000 participants having applied for accreditation, COP 15 is by far the biggest meeting held under the UNFCCC. Given the capacity of the Bella Center to accommodate only 15,000 people and limited space in the plenary halls, some observers were already worrying about access to the negotiations and side events. Media accreditation also had to be suspended after reaching the 5,000 ceiling. The mood in the crowded corridors seemed to be one of anticipation, excitement, and even guarded optimism. Some wondered, however, whether the hopefulness would ultimately translate into political will to reach a strong outcome setting the world on the track to avoid dangerous climate change. ""The meeting is too big to fail,"" commented one participant. Several others appeared to be genuinely uncertain about what Copenhagen will ultimately achieve. ""Some of the high-level opening statements were less ambitious than I had hoped for,"" lamented some parties, with others alluding to ""mixed signals."" Many developed countries were heard talking about political declarations and COP decisions, with a possible roadmap for adopting a legally-binding instrument later. Others, however, especially vulnerable developing countries, continued working towards text that would result in a legally-binding outcome to be adopted in Copenhagen. ""Climategate"" was another popular subject, particularly after the call by Saudi Arabia for an independent international investigation of the work of the scientific unit affected. Although one scientific expert called it a ""tempest in a teacup,"" others worried that it could distract from the ""more serious"" work in Copenhagen. Some participants were also speculating on the source of the hacking efforts and related break-ins. Several participants were expressing surprise at the appearance of a prominent developing country negotiator in the delegation of Sudan. This fueled speculation that her role as a ""hardline negotiator"" for the South had been in jeopardy following pressure from certain parties. ""These kind of personality conflicts will happen more often now we're at such a critical part of this high-stakes game,"" said one observer.",449,Copenhagen Climate Change Conference
COP 15 - CMP 5,http://www.iisd.ca/vol12/enb12450e.html,7-19 December 2009,"Copenhagen, Denmark",9 December 2009,"Much of the buzz in the corridors on Tuesday afternoon and evening was focused on the Danish text for a political ""Copenhagen Agreement under the UNFCCC,"" which was leaked publicly by the UK's Guardian newspaper. The initial reaction by many parties and observers was excitement as rumors about the ""secret"" Danish text were finally confirmed. Many therefore rushed to download or print out the document and study it. Some developing country delegates seemed angry at what they characterized as a ""secretive"" and ""non-transparent"" initiative. ""This would amount to hijacking the high-level segment and giving our leaders the impression that we have done nothing the whole year,"" alleged one developing country delegate. However, most veterans and observers close to the process were more interested in knowing ""which version"" of the text was leaked, and whether it was in fact the document they had already seen in November. ""Some changes, but nothing earth-shattering,"" commented a veteran developing country negotiator when shown the so-called ""new"" leaked version. Reactions to the implications of the leak and the substance varied. ""Now it is all out in the open - all the sensitive issues, everything. Maybe it will end up having a positive impact now that everyone has seen the text early on,"" was a comment that summed up some participants' views. However, others expressed ""outrage"" about what they saw as weakness in terms of substance and legal form: ""A political agreement with little substance, for instance, no range for developed countries' emission reductions in the text on a global long-term goal, is not strong enough,"" commented one observer. Others began speculating about how many more texts would be tabled during the Conference as rumors spread that several negotiating groups and ad hoc coalitions were in the process of drafting their own texts. ""I'm aware of four different initiatives,"" confessed an insider, ""And the last thing we want is a beauty contest over competing texts."" ""I wonder if we'll end up with the COP Presidency tabling a 'take it or leave it' text at some point?"" asked one participant. Meanwhile, some delegates were also discussing news that the US Environmental Protection Agency would be able to regulate greenhouse gas emissions under the Clean Air Act since they were now considered a threat to health. Some were speculating whether this might affect the US level of ambition. ""At a minimum it provides needed momentum and might provide flexibility in the US negotiating position,"" opined one civil society participant. However, others suggested that increased ambition is unlikely without concrete action by the US Congress.",450,Copenhagen Climate Change Conference
